Epoch,Accuracy (Hard Pseudolabels),Accuracy (Conjugate Pseudolabels)
0,0.12629999220371246,0.1210000068
1,0.17409999668598175,0.3560000062
2,0.14509999752044678,0.3330000043
3,0.17569999396800995,0.3200000226
4,0.13989999890327454,0.3160000145
5,0.1711999922990799,0.3930000067
6,0.19619999825954437,0.3870000243
7,0.17109999060630798,0.4210000336
8,0.19429999589920044,0.3690000176
9,0.23709999024868011,0.4890000224
10,0.2556999921798706,0.4340000153
11,0.2361999899148941,0.5040000081
12,0.24549999833106995,0.4150000215
13,0.25849997997283936,0.5010000467
14,0.25999999046325684,0.52700001
15,0.24809999763965607,0.4950000346
16,0.2662000060081482,0.5440000296
17,0.2759000062942505,0.5360000134
18,0.23809999227523804,0.5850000381
19,0.27799999713897705,0.5620000362
20,0.24959999322891235,0.5310000181
21,0.2525999844074249,0.5900000334
22,0.28360000252723694,0.5790000558
23,0.2712000012397766,0.5400000215
24,0.27219998836517334,0.6120000482
25,0.3174999952316284,0.574000001
26,0.23269999027252197,0.6150000095
27,0.30949997901916504,0.5790000558
28,0.29989999532699585,0.6210000515
29,0.3089999854564667,0.5470000505
30,0.2929999828338623,0.5530000329
31,0.282399982213974,0.6140000224
32,0.27889999747276306,0.5910000205
33,0.28459998965263367,0.5410000086
34,0.3264999985694885,0.655000031
35,0.3321000039577484,0.6710000038
36,0.32690000534057617,0.6020000577
37,0.32170000672340393,0.6560000181
38,0.353300005197525,0.6320000291
39,0.3130999803543091,0.6400000453
40,0.33219999074935913,0.6500000358
41,0.3278999924659729,0.6440000534
42,0.3490999937057495,0.6130000353
43,0.3111000061035156,0.5480000377
44,0.35569998621940613,0.6630000472
45,0.30379998683929443,0.6260000467
46,0.3147999942302704,0.6660000086
47,0.3335999846458435,0.6620000601
48,0.34139999747276306,0.6570000052
49,0.3391000032424927,0.6620000601
50,0.34039998054504395,0.6870000362
51,0.34450000524520874,0.6890000105
52,0.33319997787475586,0.6130000353
53,0.3643999993801117,0.6630000472
54,0.33570000529289246,0.7140000463
55,0.3422999978065491,0.6190000176
56,0.33660000562667847,0.6400000453
57,0.32749998569488525,0.6330000162
58,0.33399999141693115,0.6620000601
59,0.34379997849464417,0.6620000601
60,0.36419999599456787,0.5940000415
61,0.3498999774456024,0.628000021
62,0.3549000024795532,0.6780000329
63,0.3577999770641327,0.6800000072
64,0.34139999747276306,0.6430000067
65,0.3409999907016754,0.709000051
66,0.3375999927520752,0.6470000148
67,0.34849998354911804,0.6710000038
68,0.32899999618530273,0.6930000186
69,0.35899999737739563,0.6900000572
70,0.35189998149871826,0.6770000458
71,0.33159998059272766,0.6620000601
72,0.35850000381469727,0.6840000153
73,0.3465999960899353,0.682000041
74,0.3671000003814697,0.7130000591
75,0.37389999628067017,0.6810000539
76,0.35199999809265137,0.6490000486
77,0.3357999920845032,0.625
78,0.36149999499320984,0.709000051
79,0.35099998116493225,0.709000051
80,0.3474999964237213,0.7240000367
81,0.3587999939918518,0.7190000415
